TGL,Airline,delay,delay_normalized
2023-01-22,Citilink,10.0,0.4427083333333333
2023-01-22,,43.0,0.4770833333333333
2023-01-22,Batik Air,19.0,0.4520833333333333
2023-01-22,Wings Air,28.0,0.4614583333333333
2023-01-22,Batik Air,35.0,0.46875
2023-01-22,Lion Air,8.0,0.440625
2023-01-22,Lion Air,14.0,0.446875
2023-01-22,Batik Air,13.0,0.4458333333333333
2023-01-22,Garuda Indonesia,15.0,0.4479166666666667
2023-01-22,Lion Air,5.0,0.4375
2023-01-22,,31.0,0.4645833333333333
2023-01-22,Sriwijaya Air,41.0,0.475
2023-01-22,Citilink,1.0,0.4333333333333333
2023-01-22,Garuda Indonesia,10.0,0.4427083333333333
2023-01-23,,4.0,0.4364583333333333
2023-01-23,,8.0,0.440625
2023-01-23,Batik Air,79.0,0.5145833333333333
2023-01-23,Wings Air,70.0,0.5052083333333334
2023-01-23,Garuda Indonesia,5.0,0.4375
2023-01-23,,31.0,0.4645833333333333
2023-01-23,Sriwijaya Air,49.0,0.4833333333333333
2023-01-23,Citilink,13.0,0.4458333333333333
2023-01-23,Batik Air,10.0,0.4427083333333333
2023-01-23,Lion Air,150.0,0.5885416666666666
2023-01-23,Citilink,6.0,0.4385416666666666
2023-01-23,Batik Air,76.0,0.5114583333333333
2023-01-23,Lion Air,2.0,0.434375
2023-01-23,Garuda Indonesia,6.0,0.4385416666666666
2023-01-23,Lion Air,8.0,0.440625
2023-01-23,Wings Air,5.0,0.4375
2023-01-23,NamAir,10.0,0.4427083333333333
2023-01-23,Batik Air,6.0,0.4385416666666666
2023-01-23,Batik Air,89.0,0.525
2023-01-23,Wings Air,19.0,0.4520833333333333
2023-01-23,Batik Air,23.0,0.45625
2023-01-23,Lion Air,240.0,0.6822916666666666
2023-01-23,Citilink,16.0,0.4489583333333333
2023-01-24,Citilink,22.0,0.4552083333333333
2023-01-24,Batik Air,145.0,0.5833333333333334
2023-01-24,Wings Air,10.0,0.4427083333333333
2023-01-24,Batik Air,133.0,0.5708333333333333
2023-01-24,Lion Air,6.0,0.4385416666666666
2023-01-24,Garuda Indonesia,17.0,0.45
2023-01-24,Citilink,47.0,0.48125
2023-01-24,Batik Air,18.0,0.4510416666666667
2023-01-24,Batik Air,27.0,0.4604166666666666
2023-01-24,,46.0,0.4802083333333333
2023-01-24,Wings Air,34.0,0.4677083333333333
2023-01-24,Lion Air,6.0,0.4385416666666666
